Timestamp,Pressure_hPa,Temp_C,Altitude_m,Heading,Roll,Pitch,AccelX,AccelY,AccelZ
1765363194.26,1019.53,30.91,-52.17,0.00,0.00,0.00,-0.54,-4.94,-8.57
1765363194.40,1019.53,30.92,-52.18,192.56,-3.12,150.00,-0.52,-4.93,-8.59
1765363194.52,1019.53,30.93,-52.18,192.56,-3.12,150.00,-0.53,-4.93,-8.59
1765363194.64,1019.53,30.93,-52.19,192.56,-3.12,150.00,-0.54,-4.95,-8.56
1765363194.76,1019.53,30.93,-52.20,192.56,-3.12,150.00,-0.53,-4.96,-8.56
1765363194.88,1019.53,30.93,-52.18,192.56,-3.12,150.00,-0.54,-4.95,-8.59
1765363195.00,1019.53,30.94,-52.18,192.56,-3.12,150.00,-0.53,-4.95,-8.54
1765363195.12,1019.53,30.94,-52.18,192.56,-3.12,150.00,-0.53,-4.94,-8.62
1765363195.24,1019.53,30.94,-52.19,192.56,-3.12,150.00,-0.54,-4.96,-8.58
1765363195.36,1019.53,30.95,-52.19,192.56,-3.12,150.00,-0.53,-4.94,-8.59
1765363195.51,1019.54,30.95,-52.20,192.56,-3.12,150.00,-0.52,-4.88,-8.53
1765363195.62,1019.54,30.95,-52.20,192.56,-3.12,150.00,-0.53,-4.86,-8.51
1765363195.74,1019.53,30.95,-52.18,192.56,-3.12,150.00,-0.52,-4.88,-8.48
1765363195.88,1019.53,30.95,-52.18,192.56,-3.12,150.00,-0.52,-4.89,-8.48
1765363196.01,1019.53,30.95,-52.19,192.56,-3.12,150.00,-0.53,-4.89,-8.46
1765363196.12,1019.53,30.95,-52.19,192.56,-3.12,150.00,-0.52,-4.86,-8.50
1765363196.23,1019.53,30.95,-52.19,192.56,-3.12,150.00,-0.53,-4.87,-8.52
1765363196.34,1019.53,30.95,-52.19,192.56,-3.12,150.00,-0.55,-4.94,-8.45
1765363196.45,1019.54,30.96,-52.20,192.56,-3.12,150.00,-0.52,-4.83,-8.53
1765363196.56,1019.53,30.96,-52.19,192.56,-3.12,150.00,-0.51,-4.90,-8.49
1765363196.68,1019.53,30.96,-52.19,192.56,-3.12,150.00,-0.47,-4.66,-8.58
1765363196.79,1019.53,30.96,-52.19,192.81,-3.19,149.94,-0.44,-5.42,-8.20
1765363196.90,1019.53,30.96,-52.19,193.31,-3.19,150.06,-0.54,-4.78,-8.55
1765363197.01,1019.54,30.97,-52.20,193.31,-3.19,150.12,-0.54,-4.90,-8.43
1765363197.14,1019.54,30.97,-52.21,193.31,-3.19,150.12,-0.52,-4.86,-8.50
