Phase,Timestamp,State,Lat,Lon,Heading,TargetAngle,Dist,Roll,Pitch,L_Speed,R_Speed,Fix,RelAlt,AccelNorm,AI_CX,ToF_Dist
2,2026-03-07 10:27:37,TURN,30.375558,130.960488,125.1,175.1,138.05,1,2,-1.00,1.00,1,0,0,,
2,2026-03-07 10:27:38,TURN,30.375558,130.960488,135.2,175.1,138.05,2,8,-1.00,1.00,1,0,0,,
2,2026-03-07 10:27:38,TURN,30.375558,130.960488,152.6,175.1,138.05,4,7,-1.00,1.00,1,0,0,,
2,2026-03-07 10:27:38,DRIVE,30.375558,130.960488,173.2,175.1,138.05,5,2,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:38,DRIVE,30.375558,130.960488,184.4,175.1,138.05,4,8,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:38,DRIVE,30.375558,130.960488,188.2,175.1,138.05,4,9,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:39,TURN,30.375558,130.960488,190.4,175.1,138.05,4,13,1.00,-1.00,1,0,0,,
2,2026-03-07 10:27:39,DRIVE,30.375558,130.960488,175.8,175.1,138.05,4,1,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:39,DRIVE,30.375558,130.960488,167.8,175.1,138.05,3,15,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:39,DRIVE,30.375558,130.960488,167.4,175.1,138.05,4,15,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:40,DRIVE,30.375558,130.960488,167.8,175.1,138.05,6,13,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:40,DRIVE,30.375558,130.960488,171.4,175.1,138.05,6,11,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:40,DRIVE,30.375558,130.960488,175.6,175.1,138.05,4,17,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:40,DRIVE,30.375558,130.960488,173.7,175.1,138.05,6,14,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:40,DRIVE,30.375558,130.960488,179.2,175.1,138.05,5,15,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:41,DRIVE,30.375558,130.960488,182.8,175.1,138.05,4,18,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:41,DRIVE,30.375557,130.960488,181.0,175.1,137.98,7,17,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:41,DRIVE,30.375557,130.960489,181.3,175.1,137.91,7,15,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:41,DRIVE,30.375556,130.960489,181.9,175.1,137.84,6,18,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:42,DRIVE,30.375556,130.960490,181.7,175.2,137.77,6,18,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:42,DRIVE,30.375555,130.960490,184.9,175.2,137.66,5,18,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:42,DRIVE,30.375554,130.960490,188.5,175.2,137.61,5,18,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:42,TURN,30.375554,130.960491,193.2,175.2,137.57,4,15,1.00,-1.00,1,0,0,,
2,2026-03-07 10:27:42,DRIVE,30.375553,130.960491,176.3,175.2,137.52,6,-13,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:43,DRIVE,30.375553,130.960491,169.5,175.2,137.47,6,2,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:43,DRIVE,30.375553,130.960491,170.1,175.2,137.52,6,17,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:43,DRIVE,30.375554,130.960491,170.8,175.2,137.56,6,17,1.00,1.00,1,0,0,,
2,2026-03-07 10:27:43,DRIVE,30.375554,130.960491,175.9,175.2,137.61,5,17,1.00,1.00,1,0,0,,
