Time,Phase,Pressure,Altitude,Heading,Roll,Pitch,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
1765366238.20,0,1020.11,-56.92,0.38,-0.81,-84.44,-0.15,9.74,0.93,0.00,0.00,0.00,23.88,-3.69,-34.06
1765366238.32,0,1020.10,-56.91,0.38,-0.81,-84.44,-0.15,9.74,0.96,-0.00,0.00,0.00,25.00,-4.00,-34.88
1765366238.44,0,1020.10,-56.91,0.38,-0.81,-84.44,-0.15,9.77,0.87,-0.00,0.00,0.00,25.25,-3.38,-35.25
1765366238.55,0,1020.11,-56.92,0.38,-0.81,-84.44,-0.13,9.72,0.92,0.00,0.00,0.00,24.56,-3.69,-35.25
1765366238.66,0,1020.11,-56.95,0.38,-0.81,-84.44,-0.15,9.75,0.93,-0.00,0.00,0.00,23.88,-4.00,-35.75
1765366238.78,0,1020.11,-56.96,0.38,-0.81,-84.44,-0.17,9.75,0.95,0.00,0.00,0.00,25.25,-3.00,-34.50
1765366238.89,0,1020.11,-56.95,0.38,-0.81,-84.44,-0.17,9.73,0.93,0.00,0.00,-0.00,24.56,-3.38,-36.56
1765366239.01,0,1020.11,-56.95,0.38,-0.81,-84.44,-0.17,9.76,0.95,0.00,0.00,0.00,25.00,-4.00,-33.69
1765366239.12,0,1020.11,-56.94,0.38,-0.81,-84.44,-0.16,9.74,0.95,-0.00,0.00,-0.00,24.25,-4.00,-34.50
1765366239.24,0,1020.11,-56.95,0.38,-0.81,-84.44,-0.14,9.75,0.89,0.00,-0.00,0.00,25.69,-3.38,-35.25
1765366239.36,0,1020.11,-56.95,0.38,-0.81,-84.44,-0.18,9.76,0.88,0.01,0.00,0.00,25.25,-4.38,-34.50
1765366239.47,0,1020.11,-56.93,0.38,-0.81,-84.44,-0.13,9.75,0.88,0.00,0.00,0.00,25.25,-3.38,-33.69
1765366239.58,0,1020.11,-56.94,0.38,-0.81,-84.44,-0.15,9.75,0.89,0.01,0.00,0.00,24.25,-3.69,-34.06
1765366239.70,0,1020.11,-56.95,0.38,-0.81,-84.44,-0.14,9.78,0.85,0.00,-0.00,0.00,27.19,-3.69,-34.50
1765366239.82,0,1020.11,-56.94,0.38,-0.81,-84.44,-0.17,9.76,0.85,-0.01,-0.00,0.00,25.00,-3.38,-34.50
1765366239.93,0,1020.11,-56.94,0.38,-0.81,-84.44,-0.16,9.76,0.87,-0.00,0.00,-0.00,25.00,-4.75,-34.06
1765366240.04,0,1020.11,-56.94,0.38,-0.81,-84.44,-0.13,9.75,0.86,-0.00,-0.00,-0.00,24.56,-3.69,-35.75
1765366240.16,0,1020.11,-56.95,0.38,-0.81,-84.44,-0.13,9.73,0.85,-0.01,0.00,-0.00,25.69,-3.00,-33.69
1765366240.27,0,1020.11,-56.96,0.38,-0.81,-84.44,-0.14,9.76,0.85,0.01,0.00,-0.00,24.25,-3.69,-34.06
1765366240.39,0,1020.11,-56.96,0.38,-0.81,-84.44,-0.17,9.72,0.83,0.02,0.00,0.00,24.56,-3.69,-34.06
1765366240.50,0,1020.11,-56.95,0.44,-0.81,-84.56,-0.15,9.76,0.82,0.01,0.00,-0.00,24.25,-3.00,-33.69
1765366240.62,0,1020.11,-56.95,0.44,-0.81,-84.75,-0.13,9.71,0.92,0.15,-0.00,0.00,25.25,-3.88,-33.25
1765366240.73,0,1020.11,-56.95,0.44,-0.81,-86.75,-0.15,9.71,0.73,0.48,-0.00,-0.01,23.88,-3.25,-33.19
1765366240.85,0,1020.11,-56.96,0.44,-0.81,-91.38,-0.24,9.65,0.05,1.18,0.04,-0.00,24.25,-4.38,-33.06
1765366240.96,0,1020.11,-56.95,0.62,-0.88,-102.25,-0.44,9.57,-1.65,2.11,0.02,-0.04,25.00,-7.75,-29.75
1765366241.07,0,1020.11,-56.92,0.81,-0.88,-118.56,-0.12,9.19,-4.64,3.11,-0.11,0.01,24.50,-14.50,-20.38
1765366241.19,0,1020.11,-56.92,359.38,-0.25,-123.00,-0.03,7.34,-6.53,0.40,-0.07,0.15,22.56,-26.69,-15.88
1765366241.31,0,1020.11,-56.93,0.69,-0.88,-119.56,-0.28,7.44,-4.14,0.42,-0.02,0.14,22.38,-24.75,-18.75
1765366241.42,0,1020.11,-56.93,0.62,-0.88,-118.31,-0.03,8.74,-4.35,-0.54,0.02,-0.00,24.25,-16.38,-19.88
1765366241.54,0,1020.10,-56.92,0.69,-0.88,-117.94,-0.17,8.72,-4.26,0.34,0.00,-0.00,23.69,-16.00,-19.19
1765366241.65,0,1020.10,-56.90,0.38,-0.81,-119.31,-0.16,8.30,-5.31,-0.01,0.07,-0.04,23.75,-17.19,-17.69
1765366241.77,0,1020.10,-56.91,0.44,-0.81,-119.06,-0.05,8.40,-4.72,0.15,0.02,-0.03,23.75,-18.50,-18.00
1765366241.88,0,1020.10,-56.92,1.12,-0.94,-105.31,0.44,7.93,-3.34,-2.35,-0.33,-0.03,22.75,-22.88,-19.56
1765366242.00,0,1020.10,-56.91,3.25,-0.94,-83.44,-0.25,9.45,-0.36,-5.14,-0.51,-0.04,23.69,-20.50,-27.56
1765366242.12,0,1020.11,-56.93,6.56,-0.50,-41.25,0.72,8.22,8.05,-7.90,-0.63,-0.57,24.88,2035.81,-0.06
1765366242.23,0,1020.11,-56.93,12.94,0.75,8.06,-0.16,-4.89,12.46,-2.94,-0.66,-1.36,20.06,16.06,-13.88
