Time,Phase,Pressure,Altitude,Heading,Roll,Pitch,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
2025-12-15 20:22:17.371,0,1015.51,-18.78,133.19,-0.19,2.44,-0.14,-0.54,9.45,-0.06,-0.09,0.63,24.38,2.00,-59.88
2025-12-15 20:22:17.492,0,1015.51,-18.76,128.00,-0.19,2.38,-0.10,-0.47,9.30,0.05,0.01,0.89,27.06,1.69,-59.25
2025-12-15 20:22:17.608,0,1015.51,-18.78,121.50,-0.75,2.25,-0.27,-0.39,9.32,-0.02,0.03,1.04,24.88,-1.25,-58.69
2025-12-15 20:22:17.726,0,1015.51,-18.79,114.88,-1.12,2.00,-0.39,-0.33,9.32,0.09,-0.00,1.15,25.69,-3.38,-59.06
2025-12-15 20:22:17.843,0,1015.51,-18.79,106.88,-1.44,1.50,-0.38,-0.19,9.60,-0.02,0.02,1.27,24.75,-6.88,-57.38
2025-12-15 20:22:17.956,0,1015.51,-18.78,98.75,-1.88,1.75,-0.46,-0.36,9.38,-0.08,0.03,1.40,22.50,-8.06,-57.19
2025-12-15 20:22:18.072,0,1015.51,-18.79,89.12,-2.12,1.50,-0.49,-0.39,9.44,0.07,-0.07,1.46,21.56,-10.75,-59.06
2025-12-15 20:22:18.188,0,1015.51,-18.78,80.38,-1.50,0.81,-0.37,-0.26,9.51,0.00,-0.16,1.40,17.25,-14.88,-57.75
2025-12-15 20:22:18.301,0,1015.51,-18.79,72.12,-0.81,0.94,-0.26,-0.37,9.33,-0.03,-0.09,1.26,15.25,-16.75,-59.25
2025-12-15 20:22:18.413,0,1015.51,-18.78,64.62,-0.69,0.69,-0.26,-0.26,9.40,0.07,-0.00,1.00,11.88,-17.38,-58.56
2025-12-15 20:22:18.529,0,1015.51,-18.78,59.44,-1.06,0.81,-0.32,-0.25,9.15,-0.10,0.06,0.70,10.69,-19.25,-57.56
2025-12-15 20:22:18.644,0,1015.51,-18.78,55.56,-1.56,1.06,-0.28,-0.18,9.30,0.00,0.06,0.46,9.38,-19.69,-57.56
2025-12-15 20:22:18.758,0,1015.51,-18.80,53.31,-2.00,1.25,-0.35,-0.22,9.72,-0.05,0.07,0.28,7.88,-19.88,-58.50
2025-12-15 20:22:18.873,0,1015.51,-18.81,51.88,-2.38,1.31,-0.40,-0.27,9.60,-0.00,0.02,0.15,6.50,-19.25,-56.75
2025-12-15 20:22:18.987,0,1015.51,-18.82,51.25,-2.31,0.75,-0.36,-0.20,9.67,0.14,-0.03,0.07,7.50,-19.25,-57.19
2025-12-15 20:22:19.100,0,1015.51,-18.83,51.12,-2.19,0.38,-0.39,-0.22,9.37,-0.00,-0.01,-0.01,7.19,-19.25,-57.19
2025-12-15 20:22:19.217,0,1015.51,-18.80,51.31,-2.00,0.44,-0.36,-0.21,9.29,0.01,-0.05,-0.07,7.88,-20.00,-57.06
2025-12-15 20:22:19.332,0,1015.51,-18.80,51.88,-1.88,0.44,-0.32,-0.23,9.03,0.02,-0.01,-0.10,6.38,-18.88,-57.38
2025-12-15 20:22:19.448,0,1015.51,-18.82,52.62,-2.00,0.31,-0.36,-0.20,10.14,0.04,0.04,-0.11,8.19,-18.88,-56.88
2025-12-15 20:22:19.561,0,1015.51,-18.83,53.25,-2.31,0.12,-0.43,-0.20,9.76,0.02,0.04,-0.10,7.75,-18.50,-58.06
2025-12-15 20:22:19.675,0,1015.51,-18.82,53.94,-2.38,0.00,-0.35,-0.20,9.27,0.07,0.01,-0.09,7.38,-18.88,-55.38
