Time,Lat,Lon,Heading,TargetDist,TargetBear,MotorL,MotorR,Fix
1765531342.92,0,0,0.00,0.00,0.00,0.00,0.00,0
1765531343.13,0,0,2.38,0.00,0.00,0.00,0.00,0
1765531343.33,0,0,15.62,0.00,0.00,0.00,0.00,0
1765531343.56,0,0,42.94,0.00,0.00,0.00,0.00,0
1765531343.77,0,0,50.06,0.00,0.00,0.00,0.00,0
1765531343.97,0,0,50.19,0.00,0.00,0.00,0.00,0
1765531344.18,0,0,50.25,0.00,0.00,0.00,0.00,0
1765531344.39,0,0,50.19,0.00,0.00,0.00,0.00,0
1765531344.60,0,0,50.25,0.00,0.00,0.00,0.00,0
1765531344.81,0,0,50.25,0.00,0.00,0.00,0.00,0
1765531345.02,0,0,50.25,0.00,0.00,0.00,0.00,0
1765531345.22,0,0,50.31,0.00,0.00,0.00,0.00,0
1765531345.43,0,0,50.31,0.00,0.00,0.00,0.00,0
1765531345.64,0,0,50.31,0.00,0.00,0.00,0.00,0
1765531345.85,0,0,50.38,0.00,0.00,0.00,0.00,0
1765531346.06,0,0,50.38,0.00,0.00,0.00,0.00,0
1765531346.27,0,0,50.38,0.00,0.00,0.00,0.00,0
1765531346.48,0,0,50.44,0.00,0.00,0.00,0.00,0
1765531346.69,0,0,50.44,0.00,0.00,0.00,0.00,0
1765531346.90,0,0,50.31,0.00,0.00,0.00,0.00,0
1765531347.10,0,0,49.88,0.00,0.00,0.00,0.00,0
1765531347.31,0,0,49.88,0.00,0.00,0.00,0.00,0
1765531347.52,0,0,49.88,0.00,0.00,0.00,0.00,0
1765531347.73,0,0,50.69,0.00,0.00,0.00,0.00,0
1765531347.94,0,0,47.62,0.00,0.00,0.00,0.00,0
1765531348.15,0,0,50.75,0.00,0.00,0.00,0.00,0
1765531348.35,0,0,67.69,0.00,0.00,0.00,0.00,0
1765531348.56,0,0,114.50,0.00,0.00,0.00,0.00,0
1765531348.77,0,0,146.00,0.00,0.00,0.00,0.00,0
1765531348.98,0,0,206.06,0.00,0.00,0.00,0.00,0
1765531349.19,0,0,257.31,0.00,0.00,0.00,0.00,0
1765531349.39,0,0,262.81,0.00,0.00,0.00,0.00,0
1765531349.60,0,0,268.81,0.00,0.00,0.00,0.00,0
1765531349.81,0,0,327.88,0.00,0.00,0.00,0.00,0
1765531350.02,0,0,324.62,0.00,0.00,0.00,0.00,0
1765531350.23,0,0,333.25,0.00,0.00,0.00,0.00,0
1765531350.44,0,0,334.56,0.00,0.00,0.00,0.00,0
1765531350.64,0,0,342.69,0.00,0.00,0.00,0.00,0
1765531350.85,0,0,326.62,0.00,0.00,0.00,0.00,0
1765531351.06,0,0,326.62,0.00,0.00,0.00,0.00,0
1765531351.27,0,0,320.94,0.00,0.00,0.00,0.00,0
1765531351.48,0,0,323.75,0.00,0.00,0.00,0.00,0
1765531351.69,0,0,315.44,0.00,0.00,0.00,0.00,0
1765531351.90,0,0,300.81,0.00,0.00,0.00,0.00,0
1765531352.11,0,0,0.00,0.00,0.00,0.00,0.00,0
1765531352.32,0,0,298.50,0.00,0.00,0.00,0.00,0
1765531352.53,0,0,298.56,0.00,0.00,0.00,0.00,0
1765531352.73,0,0,299.00,0.00,0.00,0.00,0.00,0
1765531352.94,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531353.15,0,0,299.81,0.00,0.00,0.00,0.00,0
1765531353.36,0,0,300.25,0.00,0.00,0.00,0.00,0
1765531353.57,0,0,300.69,0.00,0.00,0.00,0.00,0
1765531353.77,0,0,300.69,0.00,0.00,0.00,0.00,0
1765531353.99,0,0,300.69,0.00,0.00,0.00,0.00,0
