Time,Pressure_hPa,Altitude_m,Drop_m,LED_Status
1768304953.0619454,999.69,113.52,-0.00,0
1768304953.1646085,999.69,113.52,-0.01,0
1768304953.2671006,999.69,113.51,0.00,0
1768304953.3694572,999.69,113.50,0.02,0
1768304953.4718032,999.69,113.50,0.01,0
1768304953.5741246,999.69,113.51,0.01,0
1768304953.6765335,999.69,113.52,0.00,0
1768304953.778933,999.69,113.53,-0.01,0
1768304953.8813229,999.69,113.53,-0.01,0
1768304953.9836764,999.69,113.52,-0.00,0
1768304954.0859985,999.69,113.51,0.00,0
1768304954.1883502,999.69,113.52,-0.00,0
1768304954.290946,999.69,113.51,0.00,0
1768304954.393413,999.69,113.50,0.02,0
1768304954.4958792,999.69,113.50,0.02,0
1768304954.5982885,999.69,113.51,0.01,0
1768304954.7007005,999.69,113.52,-0.00,0
1768304954.8031242,999.69,113.53,-0.01,0
1768304954.905603,999.69,113.52,-0.00,0
1768304955.007979,999.69,113.51,0.00,0
1768304955.110401,999.69,113.51,0.00,0
1768304955.2128274,999.69,113.50,0.01,0
1768304955.3153784,999.69,113.49,0.02,0
1768304955.4177966,999.69,113.51,0.01,0
1768304955.520138,999.69,113.51,0.01,0
1768304955.6225328,999.69,113.49,0.02,0
1768304955.7248816,999.69,113.49,0.03,0
1768304955.827199,999.69,113.50,0.02,0
1768304955.9336088,999.69,113.50,0.02,0
1768304956.036489,999.69,113.51,0.01,0
1768304956.1394153,999.69,113.51,0.00,0
1768304956.2424297,999.69,113.53,-0.01,0
1768304956.345434,999.69,113.52,-0.01,0
1768304956.448471,999.69,113.53,-0.01,0
1768304956.5514488,999.69,113.52,-0.01,0
1768304956.6542501,999.69,113.52,-0.00,0
1768304956.757095,999.69,113.52,-0.01,0
1768304956.8600223,999.69,113.54,-0.02,0
1768304956.9629295,999.69,113.54,-0.02,0
1768304957.0658898,999.69,113.53,-0.01,0
1768304957.168809,999.69,113.53,-0.01,0
1768304957.2718186,999.69,113.53,-0.01,0
1768304957.3747811,999.69,113.53,-0.02,0
1768304957.4776556,999.69,113.53,-0.02,0
1768304957.5804875,999.69,113.53,-0.02,0
1768304957.6835027,999.69,113.53,-0.01,0
1768304957.7864072,999.69,113.51,0.00,0
1768304957.8892963,999.69,113.51,0.01,0
1768304957.992123,999.69,113.51,0.01,0
1768304958.0949564,999.69,113.51,0.01,0
1768304958.1979454,999.69,113.51,0.01,0
1768304958.3010042,999.69,113.51,0.01,0
1768304958.4040112,999.69,113.51,0.00,0
1768304958.507078,999.69,113.52,-0.00,0
1768304958.6099458,999.69,113.52,0.00,0
1768304958.7128267,999.69,113.53,-0.01,0
1768304958.8156688,999.69,113.52,-0.01,0
1768304958.9186087,999.69,113.52,0.00,0
1768304959.0214186,999.69,113.52,0.00,0
1768304959.1243064,999.69,113.53,-0.01,0
1768304959.2275531,999.69,113.53,-0.01,0
1768304959.3307183,999.69,113.53,-0.01,0
1768304959.4336998,999.69,113.53,-0.02,0
1768304959.5366223,999.68,113.56,-0.04,0
1768304959.6395483,999.68,113.56,-0.04,0
1768304959.7424092,999.69,113.55,-0.04,0
1768304959.8452427,999.68,113.57,-0.05,0
1768304959.9481244,999.68,113.56,-0.05,0
1768304960.050963,999.69,113.54,-0.03,0
1768304960.1538935,999.69,113.54,-0.02,0
1768304960.2569895,999.69,113.54,-0.03,0
1768304960.3599658,999.69,113.54,-0.03,0
1768304960.4630039,999.69,113.54,-0.02,0
1768304960.5659678,999.69,113.54,-0.02,0
1768304960.6688228,999.69,113.55,-0.03,0
1768304960.7716722,999.69,113.55,-0.04,0
1768304960.8745167,999.69,113.55,-0.03,0
1768304960.9807541,999.69,113.55,-0.04,0
1768304961.08379,999.69,113.55,-0.03,0
1768304961.1867278,999.69,113.54,-0.03,0
1768304961.2902784,999.69,113.54,-0.02,0
1768304961.3934135,999.69,113.54,-0.02,0
1768304961.4964638,999.69,113.55,-0.04,0
1768304961.5993958,999.69,113.55,-0.04,0
1768304961.7023754,999.69,113.55,-0.03,0
1768304961.8052912,999.68,113.56,-0.04,0
1768304961.908309,999.68,113.58,-0.06,0
1768304962.0111823,999.68,113.58,-0.06,0
1768304962.1140246,999.69,113.55,-0.04,0
1768304962.2168977,999.68,113.56,-0.04,0
1768304962.3197985,999.68,113.58,-0.06,0
1768304962.4227493,999.68,113.57,-0.06,0
1768304962.5257437,999.68,113.57,-0.06,0
1768304962.628666,999.68,113.58,-0.06,0
1768304962.7315097,999.68,113.57,-0.05,0
1768304962.8343422,999.68,113.57,-0.05,0
1768304962.9372137,999.68,113.56,-0.04,0
1768304963.0402298,999.69,113.55,-0.03,0
1768304963.1431592,999.68,113.56,-0.04,0
1768304963.2461658,999.68,113.56,-0.04,0
1768304963.3490653,999.68,113.56,-0.04,0
1768304963.4521618,999.69,113.55,-0.03,0
1768304963.5551884,999.69,113.54,-0.02,0
