Time,Pressure_hPa,Abs_Alt_m,Rel_Alt_m,LED_Status
2026-01-26 19:34:48.329873,1014.79,-12.85,-0.03,ON (Low Alt)
2026-01-26 19:34:48.457588,1014.79,-12.83,-0.01,ON (Low Alt)
2026-01-26 19:34:48.560557,1014.79,-12.85,-0.03,ON (Low Alt)
2026-01-26 19:34:48.665049,1014.79,-12.84,-0.02,ON (Low Alt)
2026-01-26 19:34:48.768318,1014.79,-12.83,-0.01,ON (Low Alt)
2026-01-26 19:34:48.871176,1014.79,-12.85,-0.03,ON (Low Alt)
2026-01-26 19:34:48.974214,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:49.077217,1014.79,-12.84,-0.02,ON (Low Alt)
2026-01-26 19:34:49.180755,1014.79,-12.84,-0.02,ON (Low Alt)
2026-01-26 19:34:49.284173,1014.79,-12.85,-0.03,ON (Low Alt)
2026-01-26 19:34:49.387121,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:49.490198,1014.80,-12.88,-0.06,ON (Low Alt)
2026-01-26 19:34:49.593147,1014.80,-12.87,-0.05,ON (Low Alt)
2026-01-26 19:34:49.696548,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:49.799384,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:49.902759,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:50.005709,1014.79,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:50.110021,1014.79,-12.84,-0.03,ON (Low Alt)
2026-01-26 19:34:50.214012,1014.79,-12.85,-0.03,ON (Low Alt)
2026-01-26 19:34:50.319101,1014.79,-12.85,-0.03,ON (Low Alt)
2026-01-26 19:34:50.422239,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:50.525476,1014.79,-12.84,-0.02,ON (Low Alt)
2026-01-26 19:34:50.628837,1014.79,-12.84,-0.02,ON (Low Alt)
2026-01-26 19:34:50.731526,1014.79,-12.85,-0.03,ON (Low Alt)
2026-01-26 19:34:50.835136,1014.79,-12.85,-0.03,ON (Low Alt)
2026-01-26 19:34:50.938581,1014.79,-12.84,-0.02,ON (Low Alt)
2026-01-26 19:34:51.041680,1014.79,-12.84,-0.02,ON (Low Alt)
2026-01-26 19:34:51.145024,1014.79,-12.85,-0.03,ON (Low Alt)
2026-01-26 19:34:51.247612,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:51.350435,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:51.453361,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:51.556154,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:51.659770,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:51.763745,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:51.868105,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:51.971548,1014.79,-12.85,-0.03,ON (Low Alt)
2026-01-26 19:34:52.075801,1014.79,-12.85,-0.03,ON (Low Alt)
2026-01-26 19:34:52.178622,1014.80,-12.87,-0.05,ON (Low Alt)
2026-01-26 19:34:52.281212,1014.80,-12.87,-0.05,ON (Low Alt)
2026-01-26 19:34:52.384078,1014.80,-12.87,-0.05,ON (Low Alt)
2026-01-26 19:34:52.487089,1014.80,-12.87,-0.05,ON (Low Alt)
2026-01-26 19:34:52.590077,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:52.692827,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:52.795573,1014.80,-12.87,-0.05,ON (Low Alt)
2026-01-26 19:34:52.898477,1014.80,-12.88,-0.06,ON (Low Alt)
2026-01-26 19:34:53.001382,1014.80,-12.89,-0.07,ON (Low Alt)
2026-01-26 19:34:53.104749,1014.80,-12.88,-0.07,ON (Low Alt)
2026-01-26 19:34:53.207962,1014.80,-12.88,-0.07,ON (Low Alt)
2026-01-26 19:34:53.311273,1014.80,-12.89,-0.07,ON (Low Alt)
2026-01-26 19:34:53.414477,1014.80,-12.89,-0.07,ON (Low Alt)
2026-01-26 19:34:53.517858,1014.80,-12.90,-0.08,ON (Low Alt)
2026-01-26 19:34:53.621049,1014.80,-12.91,-0.09,ON (Low Alt)
2026-01-26 19:34:53.725989,1014.80,-12.90,-0.08,ON (Low Alt)
2026-01-26 19:34:53.829930,1014.80,-12.90,-0.08,ON (Low Alt)
2026-01-26 19:34:53.934698,1014.80,-12.91,-0.09,ON (Low Alt)
2026-01-26 19:34:54.039051,1014.80,-12.91,-0.09,ON (Low Alt)
2026-01-26 19:34:54.142702,1014.80,-12.91,-0.09,ON (Low Alt)
2026-01-26 19:34:54.256820,1014.80,-12.90,-0.08,ON (Low Alt)
2026-01-26 19:34:54.366112,1014.80,-12.90,-0.08,ON (Low Alt)
2026-01-26 19:34:54.469861,1014.80,-12.88,-0.06,ON (Low Alt)
2026-01-26 19:34:54.572529,1014.80,-12.89,-0.07,ON (Low Alt)
2026-01-26 19:34:54.675356,1014.80,-12.87,-0.05,ON (Low Alt)
2026-01-26 19:34:54.778110,1014.80,-12.88,-0.06,ON (Low Alt)
2026-01-26 19:34:54.881354,1014.80,-12.88,-0.06,ON (Low Alt)
2026-01-26 19:34:54.984215,1014.80,-12.88,-0.06,ON (Low Alt)
2026-01-26 19:34:55.087005,1014.80,-12.87,-0.05,ON (Low Alt)
2026-01-26 19:34:55.190052,1014.80,-12.87,-0.05,ON (Low Alt)
2026-01-26 19:34:55.293559,1014.80,-12.87,-0.05,ON (Low Alt)
2026-01-26 19:34:55.396638,1014.80,-12.86,-0.04,ON (Low Alt)
2026-01-26 19:34:55.500139,1014.80,-12.87,-0.05,ON (Low Alt)
2026-01-26 19:34:55.603075,1014.80,-12.87,-0.05,ON (Low Alt)
2026-01-26 19:34:55.705956,1014.79,-12.85,-0.04,ON (Low Alt)
