Time,Pressure_hPa,Abs_Alt_m,Rel_Alt_m,State,Status_Message
2026-02-27 17:00:15.128487,1007.47,48.23,-0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:15.239156,1007.47,48.23,-0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:15.341443,1007.47,48.23,-0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:15.443723,1007.47,48.23,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:15.545900,1007.47,48.23,0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:15.648298,1007.47,48.24,0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:15.750655,1007.47,48.22,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:15.852888,1007.47,48.22,-0.02,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:15.955274,1007.47,48.21,-0.02,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:16.057740,1007.47,48.21,-0.02,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:16.160001,1007.47,48.22,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:16.262633,1007.47,48.22,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:16.365337,1007.47,48.22,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:16.468016,1007.47,48.22,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:16.570728,1007.47,48.22,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:16.673670,1007.47,48.23,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:16.776454,1007.47,48.24,0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:16.879203,1007.47,48.24,0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:16.981937,1007.47,48.24,0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:17.084626,1007.47,48.23,0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:17.187433,1007.47,48.23,0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:17.290107,1007.47,48.22,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:17.392863,1007.47,48.23,-0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:17.495548,1007.47,48.23,-0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:17.598458,1007.47,48.23,-0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:17.701224,1007.47,48.23,-0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:17.803978,1007.47,48.23,0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:17.906671,1007.47,48.23,0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:18.009355,1007.47,48.23,0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:18.111968,1007.47,48.22,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:18.214686,1007.47,48.21,-0.02,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:18.317427,1007.47,48.21,-0.02,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:18.420086,1007.47,48.22,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:18.522782,1007.47,48.22,-0.02,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:18.625731,1007.47,48.22,-0.02,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:18.728466,1007.47,48.22,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:18.831221,1007.47,48.23,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:18.933906,1007.47,48.23,-0.00,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:19.036528,1007.47,48.22,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:19.139297,1007.47,48.22,-0.01,STANDBY,Waiting for ascent (> 5.0m)
2026-02-27 17:00:19.242073,1007.47,48.24,0.01,STANDBY,Waiting for ascent (> 5.0m)
