Time,Pressure_hPa,Temp_C,Abs_Alt_m,Rel_Alt_m,State,Status_Message
2026-02-27 20:14:54.451058,1007.90,22.36,44.66,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:54.554197,1007.90,22.36,44.66,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:54.657285,1007.90,22.36,44.66,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:54.760276,1007.90,22.35,44.67,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:54.863244,1007.90,22.35,44.64,-0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:54.966203,1007.90,22.36,44.64,-0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:55.069271,1007.90,22.36,44.65,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:55.172319,1007.90,22.36,44.64,-0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:55.275312,1007.90,22.36,44.64,-0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:55.378616,1007.90,22.37,44.64,-0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:55.481876,1007.90,22.37,44.64,-0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:55.584931,1007.90,22.37,44.64,-0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:55.687943,1007.90,22.37,44.63,-0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:55.790908,1007.90,22.37,44.63,-0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:55.894628,1007.90,22.37,44.65,0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:55.998212,1007.90,22.37,44.64,-0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:56.101802,1007.90,22.37,44.64,-0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:56.205510,1007.90,22.37,44.64,-0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:56.309114,1007.90,22.37,44.64,-0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:56.412861,1007.90,22.38,44.63,-0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:56.516426,1007.90,22.38,44.63,-0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:56.619961,1007.90,22.37,44.64,-0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:56.723623,1007.90,22.37,44.66,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:56.827230,1007.90,22.38,44.65,0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:56.930847,1007.90,22.38,44.64,-0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:57.034484,1007.90,22.37,44.64,-0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:57.138038,1007.90,22.37,44.64,-0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:57.241721,1007.90,22.37,44.64,-0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:57.345566,1007.90,22.37,44.65,0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:57.449171,1007.90,22.38,44.64,-0.00,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:57.552768,1007.90,22.38,44.65,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:57.656383,1007.90,22.37,44.65,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:57.759918,1007.90,22.37,44.66,0.02,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:57.863519,1007.90,22.38,44.66,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:57.967130,1007.90,22.38,44.66,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:58.070678,1007.90,22.38,44.66,0.01,STANDBY,Waiting for ascent (> 12.0m)
2026-02-27 20:14:58.174262,1007.90,22.38,44.65,0.01,STANDBY,Waiting for ascent (> 12.0m)
